company,sector,priority,country_focus,target_roles,why_monitor,search_query_pt,search_query_en,ats_hint
Pagar.me,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Pagar.me carreiras vagas dados engenharia de dados analytics,Pagar.me careers data engineer analytics Brazil,auto-detect
PagBank,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",PagBank carreiras vagas dados engenharia de dados analytics,PagBank careers data engineer analytics Brazil,auto-detect
PagSeguro,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",PagSeguro carreiras vagas dados engenharia de dados analytics,PagSeguro careers data engineer analytics Brazil,auto-detect
PicPay,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",PicPay carreiras vagas dados engenharia de dados analytics,PicPay careers data engineer analytics Brazil,auto-detect
Pismo,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Pismo carreiras vagas dados engenharia de dados analytics,Pismo careers data engineer analytics Brazil,auto-detect
Provu,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Provu carreiras vagas dados engenharia de dados analytics,Provu careers data engineer analytics Brazil,auto-detect
QI Tech,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",QI Tech carreiras vagas dados engenharia de dados analytics,QI Tech careers data engineer analytics Brazil,auto-detect
Quod,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Quod carreiras vagas dados engenharia de dados analytics,Quod careers data engineer analytics Brazil,auto-detect
RecargaPay,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",RecargaPay carreiras vagas dados engenharia de dados analytics,RecargaPay careers data engineer analytics Brazil,auto-detect
Rico,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Rico carreiras vagas dados engenharia de dados analytics,Rico careers data engineer analytics Brazil,auto-detect
Santander Brasil,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Santander Brasil carreiras vagas dados engenharia de dados analytics,Santander Brasil careers data engineer analytics Brazil,auto-detect
Serasa Experian,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Serasa Experian carreiras vagas dados engenharia de dados analytics,Serasa Experian careers data engineer analytics Brazil,auto-detect
Sicoob,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Sicoob carreiras vagas dados engenharia de dados analytics,Sicoob careers data engineer analytics Brazil,auto-detect
Sicredi,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Sicredi carreiras vagas dados engenharia de dados analytics,Sicredi careers data engineer analytics Brazil,auto-detect
Stark Bank,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Stark Bank carreiras vagas dados engenharia de dados analytics,Stark Bank careers data engineer analytics Brazil,auto-detect
Stone,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Stone carreiras vagas dados engenharia de dados analytics,Stone careers data engineer analytics Brazil,auto-detect
Swap,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Swap carreiras vagas dados engenharia de dados analytics,Swap careers data engineer analytics Brazil,auto-detect
Ton,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Ton carreiras vagas dados engenharia de dados analytics,Ton careers data engineer analytics Brazil,auto-detect
Toro Investimentos,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Toro Investimentos carreiras vagas dados engenharia de dados analytics,Toro Investimentos careers data engineer analytics Brazil,auto-detect
Unicred,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Unicred carreiras vagas dados engenharia de dados analytics,Unicred careers data engineer analytics Brazil,auto-detect
Uniprime,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Uniprime carreiras vagas dados engenharia de dados analytics,Uniprime careers data engineer analytics Brazil,auto-detect
Vindi,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Vindi carreiras vagas dados engenharia de dados analytics,Vindi careers data engineer analytics Brazil,auto-detect
Warren,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Warren carreiras vagas dados engenharia de dados analytics,Warren careers data engineer analytics Brazil,auto-detect
Will Bank,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Will Bank carreiras vagas dados engenharia de dados analytics,Will Bank careers data engineer analytics Brazil,auto-detect
XP Inc.,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",XP Inc. carreiras vagas dados engenharia de dados analytics,XP Inc. careers data engineer analytics Brazil,auto-detect
Zippi,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Zippi carreiras vagas dados engenharia de dados analytics,Zippi careers data engineer analytics Brazil,auto-detect
Zoop,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Zoop carreiras vagas dados engenharia de dados analytics,Zoop careers data engineer analytics Brazil,auto-detect
99,"Logística, mobilidade, transporte e delivery",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",99 carreiras vagas dados engenharia de dados analytics,99 careers data engineer analytics Brazil,auto-detect
99Food,"Logística, mobilidade, transporte e delivery",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",99Food carreiras vagas dados engenharia de dados analytics,99Food careers data engineer analytics Brazil,auto-detect
Azul,"Logística, mobilidade, transporte e delivery",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Azul carreiras vagas dados engenharia de dados analytics,Azul careers data engineer analytics Brazil,auto-detect
BBM Logística,"Logística, mobilidade, transporte e delivery",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",BBM Logística carreiras vagas dados engenharia de dados analytics,BBM Logística careers data engineer analytics Brazil,auto-detect
Buonny,"Logística, mobilidade, transporte e delivery",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Buonny carreiras vagas dados engenharia de dados analytics,Buonny careers data engineer analytics Brazil,auto-detect
Buser,"Logística, mobilidade, transporte e delivery",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Buser carreiras vagas dados engenharia de dados analytics,Buser careers data engineer analytics Brazil,auto-detect
